"","Model","Designated_Model"
"1","CADPH-FluCAT_Ensemble","TRUE"
"2","CEPH-Rtrend_fluH","TRUE"
"3","cfa-flumech","TRUE"
"4","cfarenewal-cfaepimlight","TRUE"
"5","CMU-TimeSeries","TRUE"
"6","CU-ensemble","TRUE"
"7","fjordhest-ensemble","TRUE"
"8","Gatech-ensemble_point","TRUE"
"9","Gatech-ensemble_prob","TRUE"
"10","GT-FluFNP","TRUE"
"11","ISU_NiemiLab-GPE","TRUE"
"12","ISU_NiemiLab-NLH","TRUE"
"13","JHU_CSSE-CSSE_Ensemble","TRUE"
"14","JHUAPL-DMD","TRUE"
"15","LosAlamos_NAU-CModel_Flu","TRUE"
"16","LUcompUncertLab-chimera","TRUE"
"17","MDPredict-SIRS","TRUE"
"18","Metaculus-cp","TRUE"
"19","MIGHTE-Joint","TRUE"
"20","MIGHTE-Nsemble","TRUE"
"21","MOBS-GLEAM_FLUH","TRUE"
"22","NEU_ISI-AdaptiveEnsemble","TRUE"
"23","NEU_ISI-FluBcast","TRUE"
"24","NIH-Flu_ARIMA","TRUE"
"25","NU_UCSD-GLEAM_AI_FLUH","TRUE"
"26","OHT_JHU-nbxd","TRUE"
"27","PSI-PROF","TRUE"
"28","SGroup-RandomForest","TRUE"
"29","SigSci-BECAM","TRUE"
"30","SigSci-CREG","TRUE"
"31","SigSci-TSENS","TRUE"
"32","Stevens-GBR","TRUE"
"33","Stevens-ILIForecast","TRUE"
"34","UGA_flucast-Copycat","TRUE"
"35","UGA_flucast-INFLAenza","TRUE"
"36","UGuelph-CompositeCurve","TRUE"
"37","UGuelphensemble-GRYPHON","TRUE"
"38","UM-DeepOutbreak","TRUE"
"39","UMass-flusion","TRUE"
"40","UMass-trends_ensemble","TRUE"
"41","UNC_IDD-InfluPaint","TRUE"
"42","UVAFluX-Ensemble","TRUE"
"43","VTSanghani-Ensemble","TRUE"
"44","VTSanghani-PRIME","TRUE"
